                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3264,                 4.4975,                  4.327,                0.00223,                0.19437,                0.00244,                0.00061,                 3.0234,                 4.4675,                 4.1582,              8.888e-05,              8.888e-05,              8.888e-05
                      2,                 3.3074,                 4.3953,                 4.2467,                0.00227,                0.21348,                0.00421,                0.00088,                 3.0226,                 4.4693,                  4.157,               0.000187,               0.000187,               0.000187
                      3,                 3.3717,                 4.3408,                 4.2048,                0.00215,                0.21253,                0.00671,                0.00294,                 3.0222,                 4.4719,                 4.1558,             0.00028314,             0.00028314,             0.00028314
                      4,                 3.3362,                 4.2469,                 4.1474,                0.00208,                0.20979,                 0.0093,                0.00334,                 3.0198,                 4.4779,                 4.1541,              0.0003773,              0.0003773,              0.0003773
                      5,                 3.2686,                 4.1922,                 4.0871,                0.00215,                0.21625,                0.00533,                0.00198,                 3.0166,                 4.5009,                 4.1564,             0.00046948,             0.00046948,             0.00046948
                      6,                 3.2668,                 4.0911,                 3.9901,                0.00242,                0.23081,                0.00472,                0.00154,                 3.0147,                 4.5366,                 4.1711,             0.00055968,             0.00055968,             0.00055968
                      7,                 3.2304,                 3.9773,                 3.9364,                0.00255,                0.25792,                0.01943,                0.00503,                 3.0247,                 4.6133,                 4.2012,              0.0006479,              0.0006479,              0.0006479
                      8,                 3.2236,                 3.8716,                 3.8228,                0.00285,                0.26758,                0.00704,                0.00166,                 3.0692,                 4.7205,                 4.2904,             0.00073415,             0.00073415,             0.00073415
                      9,                   3.18,                 3.8397,                  3.753,                0.00385,                0.18871,                 0.0169,                0.00737,                 3.0605,                 5.0395,                 4.3699,             0.00081841,             0.00081841,             0.00081841
                     10,                  3.085,                 3.7821,                 3.6658,                0.00357,                0.18357,                0.01713,                0.00668,                 3.0794,                 5.0908,                 4.4222,             0.00090069,             0.00090069,             0.00090069
                     11,                 3.0366,                 3.7916,                 3.6307,                0.00352,                0.19275,                0.01507,                 0.0066,                 3.0867,                 5.2242,                 4.4492,             0.00098099,             0.00098099,             0.00098099
                     12,                 3.0534,                  3.703,                 3.5468,                0.00413,                0.24012,                 0.0078,                0.00215,                 3.0816,                 10.558,                  4.471,             0.00099001,             0.00099001,             0.00099001
                     13,                 3.0455,                 3.7039,                 3.5103,                0.00413,                0.22948,                0.00356,                0.00092,                 3.0752,                 13.871,                 4.4433,             0.00099001,             0.00099001,             0.00099001
                     14,                 2.9736,                 3.6033,                 3.4159,                0.00552,                0.19974,                0.00388,                0.00116,                 3.0516,                 7.5724,                 4.3957,             0.00097901,             0.00097901,             0.00097901
                     15,                 2.9351,                 3.5375,                 3.3554,                 0.0042,                0.21157,                0.00385,                0.00117,                 2.9625,                 4.7881,                 4.2327,             0.00096801,             0.00096801,             0.00096801
                     16,                  2.915,                 3.5465,                 3.3448,                0.04378,                0.02984,                0.01876,                 0.0049,                 2.8022,                 4.0966,                 3.8232,             0.00095702,             0.00095702,             0.00095702
                     17,                 2.8828,                 3.5556,                 3.3511,                0.09386,                0.05774,                0.03933,                0.01146,                 2.6963,                 3.8473,                 3.5803,             0.00094602,             0.00094602,             0.00094602
                     18,                 2.8555,                 3.4572,                  3.295,                0.29797,                0.10942,                0.04499,                0.01237,                 2.6924,                 4.1579,                 3.4895,             0.00093502,             0.00093502,             0.00093502
                     19,                 2.8438,                 3.3989,                 3.2379,                0.11758,                0.09637,                0.03577,                0.00884,                 2.7084,                 5.8765,                 3.6303,             0.00092402,             0.00092402,             0.00092402
                     20,                 2.8185,                 3.4368,                 3.2701,                 0.0582,                0.11495,                 0.0433,                0.01324,                 2.6451,                 4.3124,                 3.4314,             0.00091302,             0.00091302,             0.00091302
                     21,                 2.6933,                 3.3269,                 3.1648,                0.07602,                0.14657,                0.05654,                0.01771,                 2.6197,                 4.0074,                 3.3252,             0.00090202,             0.00090202,             0.00090202
                     22,                 2.7301,                 3.3682,                 3.1591,                 0.3136,                0.14317,                0.07613,                0.02364,                 2.5393,                 4.1342,                 3.2184,             0.00089102,             0.00089102,             0.00089102
